metric,occurrences,total_possible,missing_ratio
CarryingValueOfFederalFundsSoldSecuritiesPurchasedUnderAgreementsToResellAndDepositsPaidForSecuritiesBorrowed,52,66,0.21212121212121215
CarryingValueOfSecuritiesPurchasedUnderAgreementsToResellAndDepositsPaidForSecuritiesBorrowed,52,66,0.21212121212121215
CarryingValueOfSecuritiesSoldUnderRepurchaseAgreementsAndDepositsReceivedForSecuritiesLoaned,52,66,0.21212121212121215
AdvanceRoyaltiesCurrent,49,58,0.15517241379310343
AssetsUnderManagementAverageBalance,47,67,0.29850746268656714
DebtInstrumentCumulativeSinkingFundPayments,47,67,0.29850746268656714
IncreaseDecreaseInDemandDeposits,47,63,0.25396825396825395
FinancialInstrumentsOwnedAndNotPledgedAtFairValue,44,60,0.2666666666666667
OilAndGasPropertySuccessfulEffortMethodAccumulatedDepreciationDepletionAmortizationAndImpairment,44,61,0.2786885245901639
CostOfServicesCatering,44,61,0.2786885245901639
InterestAndFeeIncomeOtherLoansHeldForSale,41,46,0.10869565217391308
IncreaseDecreaseInDueFromEmployeeCurrent,32,32,0.0
AccruedLiabilitiesForCommissionsExpenseAndTaxes,28,28,0.0
OtherOilAndGasPropertySuccessfulEffortMethod,25,35,0.2857142857142857
ServicingLiabilityAtFairValueChangesInFairValueResultingFromChangesInValuationInputsOrChangesInAssumptions,21,21,0.0
ServicingLiabilityAtFairValueAdditions,21,21,0.0
OtherReceivableBeforeAllowanceForCreditLossNoncurrent,8,8,0.0
CryptoAssetUnrealizedGainLossOperating,3,3,0.0
ChangeInReportingEntityInvestmentCumulativeIncreaseDecrease,1,1,0.0
DirectOperatingCommunicationsCosts,1,1,0.0
